DATE,ELGAS0NLM086NEST_PC1
2012-07-01,4.12371
2012-10-01,5.51562
2013-01-01,4.96014
2013-04-01,4.00438
2013-07-01,1.69169
2013-10-01,-0.08072
2014-01-01,-1.23308
2014-04-01,-1.25148
2014-07-01,-1.30569
2014-10-01,-0.91447
2015-01-01,-2.29101
2015-04-01,-2.02386
2015-07-01,-2.74393
2015-10-01,-3.60684
2016-01-01,-4.93974
2016-04-01,-6.18050
2016-07-01,-5.88453
2016-10-01,-5.14582
2017-01-01,-0.24250
2017-04-01,1.10791
2017-07-01,2.68013
2017-10-01,3.28138
2018-01-01,8.24767
2018-04-01,8.43566
2018-07-01,11.75796
2018-10-01,13.27486
2019-01-01,17.22755
2019-04-01,15.98871
2019-07-01,9.76831
2019-10-01,7.25893
2020-01-01,-11.18743
2020-04-01,-12.72541
2020-07-01,-12.44617
2020-10-01,-11.51441
2021-01-01,-2.11999
2021-04-01,3.33703
2021-07-01,15.25095
2021-10-01,54.87456
2022-01-01,107.82622
2022-04-01,108.14524
2022-07-01,153.97855
